country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,213,362,512,661,810,960,1110,1260,1410,1560,1700,1850,2000,2150,2300,3980,4180,4380,4710,4990,5270,5390,5750,5940,6240,6560,6890,7380,7820,8360,8670,8800,9000,9220,9570,9810,10400,10600,10900,10800,11300,11400,11700,11800,12100,12700,13300,13500,13500,13300,13500,14400,15000,13700,13700,14500,13700,11700,11000,10900,10500,9360,9890,12100,11400,11600,12400,13100,14600,12900,12100,10500,9630,9620,9900,10800,13000,14900,16400,18500,18600,20100,22200,21100,11200,14000,15800,17100,18000,18500,19700,21100,21900,23400,24300,26000,27200,29700,29700,31700,34400,36700,38600,40100,39100,38900,38800,40600,43100,49400,51900,52300,52600,53200,55700,57800,59600,60100,58600,59300,58600,58100,58200,60100,59300,59700,59300,58300,56400,52800,48700,44200,42900,40400,42100,41300,41000,40500,39200,35900,39400,39300,39500,38700,39400,39100,36800,37700,34000,36200,34500,32800,33100,30700
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,13200,13300,14400,15000,15900,15200,15200,14400,15200,15400,15500,15700,15900,16200,16200,17400,15300,15300,15100,14800,14200,12800
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,11,11,11,11,11,11,14.7,14.7,14.7,18.3,25.7,25.7,33,36.7,36.7,40.3,47.7,55,66,66,58.7,62.3,80.7,62.3,110,103,136,121,143,143,150,154,161,158,161,147,147,143,143,139,143,143,143,143,150,150,158,158,161,161,161,165,180,187,194,198,198,198,202,202
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,47.7,47.7,47.7,47.7,66,69.7,73.3,84.3,88,84.3,88,106,103,136,132,139,227,154,161,216,187,235,264,330,502,480,799,557,488,814,275,719,935,715,858,924,994,1010,957,733,708,682,642,631,590,568,539,513,491,480,502,587,594,594,594,594,609,601,598,612,605,609,609,609
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,36.7,47.7,47.7,80.7,132,297,297,480,1800,2430,3340,4260,4780,6050,5520,2330,3910,5830,7790,8780,10000,11500,12700,13000,15000,17000,16400,17400,19000,18400,18500,21800,23400,22200,23200,25700,25400,21800,26500,27800,29000,30500,29600,29600,30800,28700,25600,23500,25400,28900,32200,35300,36800,38700,40200,41600,44400,48500,48800,54600,55900,56100,55900,57200,60600,61100,65200,70900,71100,74000,83000,87300,89700,96300,94600,97900,102000,106000,110000,120000,128000,128000,134000,138000,143000,150000,169000,172000,174000,177000,185000,193000,200000,202000,219000,228000,257000,281000,292000,316000,324000,331000,329000,343000,341000,313000,326000,302000,321000,339000,362000,364000,386000,378000,375000,379000,372000,357000,404000,450000,417000,448000,467000,497000,503000,474000,471000,469000,466000,490000
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,488,898,1670,2180,2190,2930,3470,4700,5160,6450,7560,8220,9020,11200,12600,14500,17300,21100,22200,25000,30000,35200,37200,42500,53800,58600,60300,73100,75700,81800,93300,106000,113000,133000,135000,140000,142000,151000,164000,178000,182000,193000,222000,236000,247000,261000,284000,322000,344000,375000,404000,430000,365000,400000,448000,450000,466000,466000,482000,463000,471000,496000,508000,509000,567000,589000,584000,592000,587000
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330,1450,1500
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,22,36.7,25.7,47.7,36.7,103,143,172,202,275,282,260,293,326,495,510,535,653,550,554,755,851,1150,1630,1930,2010,2190,2430,2340,2310,2290,2560,2660,2640,3080,2940,3260,3140,3120,3290,3570,3780,3760,3980,4420,4940,5390,5910,5870,5760,6100,6150,6440,6830,7350,7950,8310,8130,8740,8610,9310,9550,9380,10600,11200,11800,12300,12200,13000,13600,13900,14100,14800,15200,14900,14700,16000,17400,17300,15300,17900,15900,16700,15900,14100,14900,15000,17200,18400,19100,18400,21500,21500,24000,23700,22600,21200,18700,20300,22500,8060,5250,13200,15700,21600,21500,23100,23900,25800,28300,28100,31200,32700,35800,33100,33200,37600,39000,39800,40300,42400,50300,55900,52100,48900,53700,60100,58800,64400,71100,77700,86500,97200,96900,117000,129000,145000,155000,173000,182000,198000,196000,200000,204000,215000,207000,210000,205000,199000,201000,190000,191000,199000,227000,219000,226000,234000,219000,233000,242000,233000,252000,262000,282000,294000,298000,315000,321000,339000,353000,350000,358000,329000,288000,271000,271000,265000,237000,234000
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,1550,1940,2070,1790,1660,1420,2320,1950,2060,2260,2340,2560,2530,2270,2660,2660,2950,3240,4320,3600,3200,3540,3690,2930,2900,2810,2920,3450,3830,3410,4030,4500,4880,3880,3960,3700,4070,3490,3480,3870,4180,5190,5040,5530,5900,7060,7620,7830,8620,10200,10400,11100,11100,12300,12100,12000,12400,12200,13200,13300,15100,16000,15500,18400
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,66,51.3,51.3,51.3,58.7,55,66,66,106,106,110,114,121,128,132,143,150,161,172,176,198,198,213,198,202,216,216,224,220,231,220,224,231
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,11,7.33,11,7.33,11,11,11,11,11,14.7,18.3,18.3,22,22,25.7,29.3,33,36.7,62.3,66,69.7,77,80.7,73.3,77,84.3,69.7,99,150,114,95.3,114,103,114,128,132,147,165,165,161,169,202,224,260,312,326,308,308,319,330,363,326,359,356,367,367,385,396,385,403,407,407,407,407
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,11,7.33,7.33,7.33,7.33,7.33,11,11,11,11,11,14.7,18.3,14.7,18.3,18.3,22,29.3,29.3,29.3,36.7,40.3,33,33,33,33,36.7,29.3,36.7,36.7,40.3,47.7,66,66,66,77,66,77,80.7,77,84.3,103,121,128,132,132,161,165,147,180,187,198,220,220,220,227,227,312,220,198,253,209,209
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,722,759,832,818,928,898,1160,1290,1370,1360,1390,1490,1680,1860,2430,2640,3190,3110,4180,4860,4980,5380,5430,5680,4240,3760,3810,3440,3570,3750,3640,3830,3910,3510,4070,4250,3350,4850,3760,5220,4890,4380,3020,4150,4300,4430,5420,4700,5090,5530,6370,8120,9070,11500,11000,12000,14100,14900,15600,15900,15700,14600,15500,15400
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,235,268,312,337,312,341,374,319,367,433,429,495,532,605,796,1100,1330,1450,1520,1610,1720,1750,2110,1600,2020,2000,1900,2390,2300,2370,2030,1870,1380,1550,1600,1760,1760,1880,1860,1770,2050,2070,2040,2050,2060,2090,2110,2110,2130,2200,2370,1570,1540,1560,1600,1750,1760,1940,2000,2400,1970,2260,1920,1990
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,33,3.67,,,11,80.7,202,227,279,304,367,400,381,370,312,337,334,341,440,447,466,436,436,271,334,440,458,436,436,436,425,326,264,132,484,455,341,1200,1210,1240,1190,1140,1130,1040,1030,1020,1020,1060,1100,1050,1040,1050,1210,1090,1200
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,44,40.3,40.3,80.7,58.7,99,88,80.7,80.7,139,194,202,216,216,227,337,315,477,612,513,755,752,968,986,986,1040,1080,1110,1040,1220,1090,1340,1430,1710,1740,1870,2280,2430,2570,2180,2210,2830,2750,3150,3220,3550,3830,3760,3810,4250,4960,4950,5280,5250,5280,5900,5960,6160,6860,7300,9140,9180,8530,8930,9810,10300,10200,11300,12800,13700,12600,13000,12700,14000,15800,14900,15000,15800,6770,8010,7690,10400,6020,9950,12100,14500,12900,12500,17600,16300,19400,18900,19000,18800,19500,21800,22900,25100,29000,26200,29300,18500,15100,13000,15900,12500,4560,17400,25100,30800,26900,28700,33500,34600,32600,34500,39100,43400,38900,42100,42400,49200,48900,51300,55400,60400,62600,72600,69000,77700,86500,92400,84600,84800,87400,79900,80800,88300,85800,79500,84900,71800,69400,62300,58300,57300,62400,62000,59700,57400,55500,51900,51500,51000,51800,54900,55200,55900,52100,53000,51100,49400,51100,57400,54800,54500,51600,49600,48100,49100,43100,52000,51700,47000,44800,43400
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,205,304,425,469,469,572,697,689,675,770,744,898,1110,1280,1240,1170,1280,1500,1420,1360,1450,1670,1570,1730,1910,1970,2050,2090,2260,2310,2540,2880,3520,3470,2880,3590,3850,4210,4440,4750,5130,5680,5190,5240,5680,5970,6240,6900,8010,8010,8070,7800,8620,8770,9260,8430,8930,8490,6110,5750,4610,7240,4470,6160,7670,7240,7540,7460,8600,8970,10300,9570,10100,10200,9570,9560,9480,9930,10500,10500,11900,8320,6630,5850,6180,4460,1620,5770,9460,10200,8540,10200,12300,11200,10300,12600,13600,17100,17700,16300,16600,19500,20400,24200,29100,28200,30400,31500,32600,36000,38100,40300,41900,43000,46300,41500,39100,40500,41100,42200,39900,40500,38900,36600,40100,39200,39800,42300,40300,40700,39500,42600,42700,42800,40800,41300,39200,39900,41500,41700,40700,39000,42900,40700,40200,40400,41300,41900,38000,40400,41600,39000,37000,37800,40200,35300
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,11,14.7,11,14.7,29.3,62.3,62.3,58.7,22,22,55,36.7,18.3,18.3,22,25.7,25.7,29.3,414,381,477,513,579,1650,2010,1980,2170,2230,3220,3070,3200,3610,4370,3680,4920,4610,5960,7240,6660,8890,7770,7900,9670,11200,13800,14700,15200,22500,20800,26600,24500,28000,33100,29700,31400,36200,36900,34600,37400,42500,42900,45700,46600,41700,42800,41000,50300,52400,51000,48800,39100,54300,51100,50600,53600,66500,67700,62300,61600,56900,44700,36400,30700
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0401,0.0481,0.0321,0.0401,,,,,,,,,,,,,,,,,0.249,,,,,0.754,,,1.06,1.12,1.48,1.89,1.7,1.78,2,1.91,6.03,6.93,5.76,7.82,8.48,11.5,11.8,11,13.4,15.4,19.1,19.5,25.5,26.2,30.7,32.4,34.1,38.8,39.4,42.9,44,46.6,48.6,52.5,59.4,65.4,69.2,81.2,82.7,95,96.7,112,125,145,165,169,163,160,178,159,181,203,204,215,211,219,248,269,243,223,238,219,87.3,74.6,68,73.8,90,99.4,118,117,169,210,234,252,342,411,463,518,626,709,813,831,877,888,1060,936,644,822,770,815,916,1100,1170,1330,1490,1610,1730,1830,1990,2260,2480,2710,2900,3040,3170,3270,3430,3680,3910,4150,4380,4580,4710,4910,5160,5480,5770,6010,6240,6560,6810,7050,7290,7350,7640,7500,7640,7750,7820,8430,8450,8810,9050,8860,8310,8010,7320,5180,2360,2450,2830,2150,2500,2520,2240,2290,1880,2080,2560,2440,2660,3230,2900,2450,2540,2350,2930,3480,5190
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,447,539,528,539,557,660,763,803,689,829,704,766,803,1030,1160,1370,1760,1650,1800,1770,2460,2170,3190,2310,2280,2790,2010,2200,2070,1880,2120,2170,2220,2370,2360,2300,2390,2290,2210,2270,2400,2320,2600,2410,3550,3460,2880,2560,2540,2650,3130,3590,3810,4360,5500,6030,5900,6140,5920,7110,8090,9550,11200,11600
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,25.7,22,25.7,25.7,29.3,36.7,40.3,47.7,58.7,58.7,,33,14.7,,,29.3,40.3,62.3,957,1090,1280,1650,2050,2380,2620,2930,3020,3330,3710,4150,5030,5570,7480,7450,9480,12200,17100,14600,15400,19200,21800,24500,24200,24400,28800,32200,35100,36700,40100,38000,37900,42500,46000,48700,49700,56900,67000,78900,90800,99800,110000,125000,139000,161000,180000,186000,164000,176000,181000,195000,208000,225000,243000,247000,252000,252000,252000,268000,282000,278000,297000,300000,316000
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,161,176,176,180,183,202,227,235,246,293,440,469
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.7,44,29.3,33,40.3,40.3,47.7,47.7,55,66,91.7,88,106,132,132,180,198,194,242,275,315,400,403,378,312,323,462,356,1380,719,627,733,546,609,550,708,766,792,836,774,843,836,865,832,953,1060,986,1170,1540,1360,1160,1230,1460,1400,1340,1220,1410,1680,2780,2640,2460,2490,2660,2620
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,11,11,11,11,11,11,11,14.7,14.7,11,25.7,18.3,22,25.7,22,33,29.3,29.3,36.7,40.3,40.3,47.7,44,47.7,47.7,47.7,47.7,55,69.7,69.7,77,95.3,69.7,84.3,91.7,95.3,77,99,88,110,95.3,88,103,117,110,114,128,114,121,132,117,103,106,114,121
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,66,125,198,224,290,334,414,528,770,649,869,1000,983,1210,1660,1950,1960,2100,3230,3600,3650,3080,3260,4070,4780,5090,5750,7250,8350,9460,10700,9910,10700,10300,10800,11000,10900,12000,12700,13800,2350,2520,2800,2940,2840,2720,2880,2570,3480,3090,2580,4600,7240,1310,3800,5200,4060,4640,4040,3910,9000,8100,8240,9400,10100,9620,15900,16200,15300,16700,16900,17300,18400,16300,17500,20800,17400,17500,15900,16100,17000,17000,19200,18000,17400,17000,20600,18400,19100,22500,23800,26400,28600,32000,33400,38200,42700,45500,44400,44900,47900,46900,45400,46500,46300
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,29.3,40.3,,29.3,22,,,,,,,,,,,,18.3,18.3,18.3,25.7,29.3,33,33,58.7,136,161,51.3,91.7,95.3,132,128,147,128,1220,1380,1440,1380,1410,1600,1560,1580,1450,1590,1730,1770,1800,1950,2760,2460,2890,3090,3600,3860,3740,4210,4740,4830,5400,5550,5850,6760,7490,8770,9490,9830,9530,11300,11500,11900,12100,11700,12500,13200,13300,15500,15000,16500,15900,15700,16800,16900,18000,18300,19900,20800,20900,21200,22300,22700,23000,24100,24800,24800,27700,26000,27000,27700,28800
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,209,227,176,268,158,198,246,238,257,352,275,447,326,125,139,183,154,161,176,194,136,246,268,403,367,403,411,425,392,374,444,315,524,671,1040,950,1050,1210,1370,1530,1580,1880,1720,1960,1880,2230,2000,2040,1660,1040,513,392,458,939,1400,843,1010,1470,2450,2370,3010,3280,3130,3550,3980,3940,4000,4670,5800,5940,5870,4250,4640,4910,5470,5630,4950,6120,7030,7100,7030,7480,7710,7980,9500,10200,10500,13000,13400,13600,14400,16000,16100,17200,16800,17400,21600,22700,26300,27400,31500,33500,36300,38800,42600,47700,53900,59500,61100,65700,73700,81600,77300,75600,75800,79900,87000,90500,95800,107000,117000,130000,126000,139000,146000,149000,153000,159000,157000,172000,188000,199000,201000,197000,216000,195000,206000,219000,225000,237000,262000,285000,284000,278000,298000,321000,330000,325000,346000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181,0.217,0.145,0.181,,,,,,,,,,,,,,,,,1.12,,,,,3.41,,,4.78,5.07,6.7,8.51,7.68,8.04,9.02,8.62,27.2,31.3,26,35.3,38.3,51.7,53.1,49.8,60.5,69.6,86.4,88.2,115,118,139,146,154,175,178,194,199,210,219,237,268,295,313,366,373,429,437,505,566,657,744,764,738,721,803,717,817,915,921,972,954,989,1120,1220,1100,1010,1070,989,394,337,307,333,406,449,534,528,764,950,1060,1140,1550,1860,2090,2340,2830,3200,3670,3750,3960,4010,4810,4220,2910,3710,3480,3680,4140,4980,5300,6020,6710,7280,7790,8240,9000,10200,11200,12200,13100,13700,14300,14800,15500,16600,17700,18700,19800,20700,21300,22200,23300,24700,26000,27100,28200,29600,30800,31800,32900,33200,34500,33800,34500,35000,35300,38100,38200,39800,40900,40000,37500,36200,33000,28300,33500,34000,30700,30600,32100,37700,37500,38100,40000,44600,46500,48300,49500,56000,56800,50300,57300,62500,64900,66700,68400
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,11,11,11,11,7.33,11,11,11,7.33,7.33,11,11,11
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,139,143,209,220,264,264,279,293,414,422,407,429,433,491,627,733,810,983,1180,1440,1440,1380,1180,1200,1130,990,807,700,675,627,528,546,616,583,620,704,770,865,803,759,781,788,781,708,939,1060,1110,1270,1310,1430,1510,1560,1600,1740,2170,2540,2890,3190,3380,3920,4260,4070,4870,5230
